INFO    | mcmc.py      | {'ntips': 2, 'root_height': 1000000.0, 'params': [200000.0, 200000.0, 400000.0], 'recomb': 2e-09, 'nsites': 1000000.0, 'nsamples': 4, 'seed': 666, 'name': 'combined-224', 'mcmc_nsamples': 10000, 'mcmc_sample_interval': 5, 'mcmc_print_interval': 50, 'mcmc_burnin': 500, 'threads': 75, 'force': True, 'mcmc_jumpsize': [20000.0, 20000.0, 40000.0], 'log_level': 'INFO', 'log_file': './combined-224.log', 'data_type': 'combined'}
INFO    | mcmc.py      | MCMC current posterior mean=[186453 210965 443889  59767]
INFO    | mcmc.py      | MCMC current posterior std =[65272 42875 86362     1]
INFO    | mcmc.py      | MCMC current posterior ESS =[17, 17, 22, 18]

INFO    | mcmc.py      | 1050	 110	59767.058	[170330 249666 457635]	0.63	0:04:05	sample
INFO    | mcmc.py      | 1100	 120	59770.960	[125951 120842 662692]	0.63	0:04:16	sample
INFO    | mcmc.py      | 1150	 130	59767.439	[136644 161843 626757]	0.63	0:04:27	sample
INFO    | mcmc.py      | 1200	 140	59767.667	[223284 181756 500190]	0.63	0:04:37	sample
INFO    | mcmc.py      | 1250	 150	59767.336	[102537 249292 584718]	0.63	0:04:49	sample
INFO    | mcmc.py      | 1300	 160	59767.056	[201832 218424 367351]	0.62	0:05:02	sample
INFO    | mcmc.py      | 1350	 170	59766.532	[128313 194546 469540]	0.63	0:05:12	sample
INFO    | mcmc.py      | 1400	 180	59768.176	[228319 173518 336280]	0.63	0:05:25	sample
INFO    | mcmc.py      | 1450	 190	59765.870	[145950 209920 507486]	0.63	0:05:35	sample
INFO    | mcmc.py      | 1500	 200	59765.995	[151768 186142 534047]	0.63	0:05:47	sample
INFO    | mcmc.py      | checkpoint saved.
INFO    | mcmc.py      | MCMC current posterior mean=[172304 205258 469224  59767]
INFO    | mcmc.py      | MCMC current posterior std =[57041 39779 91092     1]
INFO    | mcmc.py      | MCMC current posterior ESS =[27, 39, 19, 26]

INFO    | mcmc.py      | 1550	 210	59765.996	[153612 199188 525724]	0.63	0:05:58	sample
INFO    | mcmc.py      | 1600	 220	59766.423	[136688 260472 469251]	0.63	0:06:08	sample
INFO    | mcmc.py      | CMD: ms-smc-mcmc --log-level INFO --mcmc-nsamples 10000 --mcmc-print-interval 50 --mcmc-sample-interval 5 --mcmc-burnin 1000 --recomb 2e-9 --name combined-224 --threads 75 --mcmc-jumpsize 20_000 20_000 40_000 --params 200_000 200_000 400_000 --nsites 2e6 --data-type combined --log-file --force
INFO    | mcmc.py      | true simulated parameters ([200000. 200000. 400000.]).
INFO    | mcmc.py      | simulating tree sequence for 2e+06 sites w/ recomb=2e-09.
INFO    | mcmc.py      | loading genealogy embedding table for 13539 genealogies.
INFO    | mcmc.py      | embedding includes 5697 sequential topology changes.
INFO    | mcmc.py      | ([200000. 200000. 400000.]) loglik 118941.94727623941.
INFO    | mcmc.py      | starting MCMC sampler for 10000 samples.
INFO    | mcmc.py      | iter	sample	loglik   	params               	accept	runtime	cat
INFO    | mcmc.py      |    0	   0	119084.680	[501050 508170 492340]	1.00	0:00:00	burnin
INFO    | mcmc.py      |   50	   0	118941.166	[154019 203109 435709]	0.45	0:00:39	burnin
INFO    | mcmc.py      |  100	   0	118941.228	[188166 157584 408785]	0.49	0:01:14	burnin
INFO    | mcmc.py      |  150	   0	118941.581	[197859 201212 348330]	0.49	0:01:53	burnin
INFO    | mcmc.py      |  200	   0	118941.575	[178434 162785 385671]	0.48	0:02:29	burnin
INFO    | mcmc.py      |  250	   0	118941.088	[191558 195006 366756]	0.48	0:03:04	burnin
INFO    | mcmc.py      |  300	   0	118941.725	[205483 198955 360718]	0.48	0:03:40	burnin
INFO    | mcmc.py      |  350	   0	118941.546	[202677 161357 366700]	0.49	0:04:15	burnin
INFO    | mcmc.py      |  400	   0	118941.483	[215914 168772 390605]	0.49	0:04:52	burnin
INFO    | mcmc.py      |  450	   0	118941.759	[182750 223776 362312]	0.49	0:05:25	burnin
INFO    | mcmc.py      |  500	   0	118941.223	[176361 214821 364940]	0.49	0:06:09	burnin
INFO    | mcmc.py      |  550	   0	118941.371	[187754 184494 351115]	0.48	0:06:50	burnin
INFO    | mcmc.py      |  600	   0	118941.580	[150778 229248 415785]	0.48	0:07:26	burnin
INFO    | mcmc.py      |  650	   0	118941.578	[183175 183642 447753]	0.48	0:08:09	burnin
INFO    | mcmc.py      |  700	   0	118942.444	[123855 232992 404187]	0.48	0:08:47	burnin
INFO    | mcmc.py      |  750	   0	118941.632	[188101 174070 452262]	0.48	0:09:22	burnin
INFO    | mcmc.py      |  800	   0	118941.553	[168412 175268 465813]	0.49	0:09:53	burnin
